code_iris;nom_iris;code_commune;population_18_75;taux_vapotage_quotidien_pct;taux_vapotage_actuel_pct;nb_vapoteurs_quotidiens_estimes;taux_tabagisme_quotidien_pct;vapoteurs_pct_hommes;vapoteurs_pct_femmes;vapoteurs_pct_age_18_29;vapoteurs_pct_age_30_44;vapoteurs_pct_age_45_59;vapoteurs_pct_age_60_74;vapoteurs_pct_dipl_inf_bac;vapoteurs_pct_dipl_bac;vapoteurs_pct_dipl_sup_bac;vapoteurs_pct_actif_occ;vapoteurs_pct_chomeur;vapoteurs_pct_etudiant;vapoteurs_pct_retraite;vapoteurs_pct_autre_inactif;vapoteurs_pct_fumeurs_double_usage;vapoteurs_pct_ex_fumeurs;vapoteurs_pct_jamais_fumeurs;vapoteurs_pct_motif_sevrage;vapoteurs_pct_motif_reduction_sante;vapoteurs_pct_motif_economique;vapoteurs_pct_motif_recreatif;taux_p05;taux_p95
545470113;Le Charmois;54547;1076.0;5.44;7.7;59.0;22.59;57.2;42.8;63.8;13.8;13.8;8.6;50.2;12.6;37.1;50.5;5.5;39.9;0.7;3.5;47.1;50.0;2.8;37.0;24.7;19.1;19.2;4.72;6.12
545470114;Tourtel;54547;2112.0;5.85;8.1;124.0;23.76;57.7;42.3;37.3;30.9;22.8;9.0;32.8;20.9;46.4;70.8;11.6;11.4;1.2;5.0;48.4;48.8;2.8;38.2;26.1;20.2;15.4;5.08;6.58
545470115;Nabécor Curie Brichambeau;54547;1604.0;5.58;7.73;89.0;23.62;61.8;38.2;40.4;27.0;20.4;12.1;40.9;20.3;38.9;63.2;13.2;14.7;1.6;7.2;48.3;49.0;2.8;38.0;25.9;20.1;16.0;4.84;6.28
545470116;Vandœuvre Sud;54547;45.0;4.76;6.42;2.0;22.99;43.6;56.4;8.6;45.9;31.1;14.4;56.6;12.0;31.4;64.2;0.0;5.9;9.7;20.3;47.6;49.6;2.8;41.9;28.2;21.8;8.0;4.13;5.36
545470117;Brabois-Bois le Duc-Sapinière;54547;1293.0;5.32;7.44;69.0;21.53;58.9;41.1;51.5;21.5;14.9;12.1;31.6;17.0;51.4;56.7;7.9;28.6;1.8;4.9;46.0;51.2;2.9;38.3;24.9;19.3;17.6;4.62;5.99
545780101;Forêt Domaniale de Haye;54578;2.0;2.11;2.67;0.0;12.67;0.0;100.0;0.0;0.0;0.0;100.0;0.0;100.0;0.0;68.7;12.2;8.1;1.6;9.3;33.3;63.1;3.6;48.9;24.3;19.1;7.7;1.87;2.34
545780102;Clairlieu-Valonnière Bois de l'Hospice;54578;942.0;4.33;5.93;41.0;22.03;56.1;43.9;21.8;27.5;38.1;12.6;49.2;18.0;32.8;77.3;8.9;6.3;2.6;4.9;46.5;50.6;2.9;40.5;26.6;20.6;12.2;3.84;4.81
545780103;Clairlieu-Champelle Essarts Sance;54578;1425.0;4.37;5.98;62.0;22.16;52.2;47.8;22.8;32.5;32.1;12.6;46.8;20.7;32.6;75.1;11.0;6.3;2.4;5.2;46.7;50.5;2.9;40.4;26.6;20.6;12.4;3.88;4.85
545780104;Technopole Nancy-Brabois;54578;13.0;4.8;6.77;1.0;22.46;65.0;35.0;45.9;0.0;49.3;4.8;38.6;0.0;61.4;67.3;25.5;7.2;0.0;0.0;47.0;50.2;2.8;38.2;25.4;19.7;16.8;4.26;5.33
545780105;Hardeval Cottages Chanoine Piéron;54578;1079.0;4.19;5.71;45.0;19.63;54.1;45.9;19.2;33.5;32.2;15.1;22.1;17.8;60.0;80.8;6.1;7.9;1.9;3.3;43.7;53.3;3.0;42.2;26.1;20.3;11.5;3.72;4.65
